SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NSE:KALYANKJIL-EQ,Kalyan Jewellers India Limited,EQ,26-MAR-2021,10,1,INE303R01014,10
NSE:KAMATHOTEL-EQ,Kamat Hotels (I) Limited,EQ,29-MAY-1996,10,1,INE967C01018,10
NSE:KAMDHENU-EQ,Kamdhenu Limited,EQ,09-MAY-2006,1,1,INE390H01020,1
NSE:KAMOPAINTS-EQ,Kamdhenu Ventures Limited,EQ,24-JAN-2023,1,1,INE0BTI01037,1
NSE:KANANIIND-EQ,Kanani Industries Limited,EQ,14-DEC-2011,1,1,INE879E01037,1
NSE:KANORICHEM-EQ,Kanoria Chemicals & Industries Limited,EQ,08-FEB-1995,5,1,INE138C01024,5
NSE:KANPRPLA-EQ,Kanpur Plastipack Limited,BE,01-JAN-2021,10,1,INE694E01014,10
NSE:KANSAINER-EQ,Kansai Nerolac Paints Limited,EQ,15-SEP-2003,1,1,INE531A01024,1
NSE:KAPSTON-EQ,Kapston Services Limited,EQ,27-MAY-2020,5,1,INE542Z01028,5
NSE:KARMAENG-EQ,Karma Energy Limited,BE,28-JUN-2011,10,1,INE725L01011,10
NSE:KARURVYSYA-EQ,Karur Vysya Bank Limited,EQ,26-JUL-2000,2,1,INE036D01028,2
NSE:KAUSHALYA-EQ,Kaushalya Infrastructure Development Corporation Limited,EQ,14-DEC-2007,1000,1,INE234I01028,1000
NSE:KAVDEFENCE-EQ,Kavveri Defence & Wireless Technologies Limited,BE,29-JAN-2008,10,1,INE641C01019,10
NSE:KAYA-EQ,Kaya Limited,BE,14-AUG-2015,10,1,INE587G01015,10
NSE:KAYNES-EQ,Kaynes Technology India Limited,EQ,22-NOV-2022,10,1,INE918Z01012,10
NSE:KCP-EQ,KCP Limited,EQ,09-APR-1997,1,1,INE805C01028,1
NSE:KCPSUGIND-EQ,KCP Sugar and Industries Corporation Limited,EQ,11-JUN-1997,1,1,INE790B01024,1
NSE:KDDL-EQ,KDDL Limited,EQ,23-MAR-2016,10,1,INE291D01011,10
NSE:KEC-EQ,KEC International Limited,EQ,10-MAR-2006,2,1,INE389H01022,2
NSE:KECL-EQ,Kirloskar Electric Company Limited,EQ,09-MAR-2010,10,1,INE134B01017,10
NSE:KEEPLEARN-EQ,DSJ Keep Learning Limited,BE,01-MAR-1995,1,1,INE055C01020,1
NSE:KEI-EQ,KEI Industries Limited,EQ,23-MAR-2006,2,1,INE878B01027,2
NSE:KELLTONTEC-EQ,Kellton Tech Solutions Limited,EQ,02-MAR-2016,1,1,INE164B01030,1
NSE:KERNEX-EQ,Kernex Microsystems (India) Limited,BE,20-DEC-2005,10,1,INE202H01019,10
